平台,职位名称,公司名称,公司信息,工作城市,薪资待遇,学历要求,经验要求,实习时长,岗位类型,联系人,在线状态,详情链接
猎聘网,招聘一生一芯项目运营/助理实习生,北京开源芯片研究院,电子/半导体/集成电路其他100-499人,深圳-光明区,150-200元/天,本科,提供转正,5个月,实习,姜先生,2小时前在线,https://www.liepin.com/lptjob/82735565?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%406_82735565%3A1%3A5f397f7c-a9a5-484e-b32b-f486373be79e&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=0&skId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&fkId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&ckId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&sfrom=search_job_pc&curPage=0&pageSize=40&index=0
猎聘网,招聘人力资源实习生,上海临港新业坊城市建设管理有限公司,房地产开发经营100-499人,上海-虹口区,100元/天,本科,,2个月,实习,韩先生·HRBP,1天前在线,https://www.liepin.com/lptjob/82643653?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%406_82643653%3A1%3A5f397f7c-a9a5-484e-b32b-f486373be79e&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=1&skId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&fkId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&ckId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&sfrom=search_job_pc&curPage=0&pageSize=40&index=1
猎聘网,招聘Marketing Intern(市场部实习生),上海司尔亚司数据信息有限公司,IT服务500-999人,北京-东城区,150元/天,本科,,3个月,实习,吴女士·hrbp,19小时前在线,https://www.liepin.com/lptjob/73669043?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%406_73669043%3A1%3A5f397f7c-a9a5-484e-b32b-f486373be79e&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=2&skId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&fkId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&ckId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&sfrom=search_job_pc&curPage=0&pageSize=40&index=2
猎聘网,招聘光电科研与工程实习生招聘,西湖大学光电研究院,电子/半导体/集成电路100-499人,杭州-富阳区,100-200元/天,大专,,2个月,实习,耿女士,3天前在线,https://www.liepin.com/lptjob/77985959?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%406_77985959%3A1%3A5f397f7c-a9a5-484e-b32b-f486373be79e&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=3&skId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&fkId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&ckId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&sfrom=search_job_pc&curPage=0&pageSize=40&index=3
猎聘网,招聘光电科研与工程实习生,超维玻色(杭州)光子科技有限公司,电子/半导体/集成电路1-49人,杭州-富阳区,100-200元/天,大专,,3个月,实习,杨女士·项目经理,,https://www.liepin.com/lptjob/77974547?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%406_77974547%3A1%3A5f397f7c-a9a5-484e-b32b-f486373be79e&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=4&skId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&fkId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&ckId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&sfrom=search_job_pc&curPage=0&pageSize=40&index=4
猎聘网,招聘实习生,广东玖顺控股有限公司,专业技术服务50-99人,东莞-东城区,100-120元/天,本科,提供转正,2个月,实习,冯女士·人事主管,,https://www.liepin.com/lptjob/75714041?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%406_75714041%3A1%3A5f397f7c-a9a5-484e-b32b-f486373be79e&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=5&skId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&fkId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&ckId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&sfrom=search_job_pc&curPage=0&pageSize=40&index=5
猎聘网,招聘实习生,广东玖顺控股有限公司,专业技术服务50-99人,东莞-东城区,100-120元/天,本科,提供转正,2个月,实习,刘女士·HR,,https://www.liepin.com/lptjob/75594001?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%406_75594001%3A1%3A5f397f7c-a9a5-484e-b32b-f486373be79e&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=6&skId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&fkId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&ckId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&sfrom=search_job_pc&curPage=0&pageSize=40&index=6
猎聘网,招聘创意实习生,桂林正道广告传媒有限责任公司,广告/公关/会展1-49人,桂林-七星区,100-120元/天,本科,提供转正,3个月,实习,王女士·人事助理,,https://www.liepin.com/lptjob/62518071?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%406_62518071%3A1%3A5f397f7c-a9a5-484e-b32b-f486373be79e&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=7&skId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&fkId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&ckId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&sfrom=search_job_pc&curPage=0&pageSize=40&index=7
猎聘网,招聘安徽合肥省分-个客运营服务实习生 (MJ004691),中国太平洋财产保险股份有限公司,保险10000人以上,合肥-庐阳区,100-120元/天,本科,提供转正,3个月,实习,郑女士,,https://www.liepin.com/lptjob/71101311?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%406_71101311%3A1%3A5f397f7c-a9a5-484e-b32b-f486373be79e&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=8&skId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&fkId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&ckId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&sfrom=search_job_pc&curPage=0&pageSize=40&index=8
猎聘网,招聘前端开发实习生,弈宸基金,基金/证券/期货不需要融资1-49人,上海-浦东新区,200-250元/天,本科,提供转正,4个月,实习,王女士·综合部,20小时前在线,https://www.liepin.com/lptjob/76451339?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%406_76451339%3A1%3A5f397f7c-a9a5-484e-b32b-f486373be79e&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=9&skId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&fkId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&ckId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&sfrom=search_job_pc&curPage=0&pageSize=40&index=9
猎聘网,招聘产权交易业务实习岗,浙江产权交易所有限公司,其他行业50-99人,杭州-上城区,100-150元/天,硕士,,3个月,实习,池女士,,https://www.liepin.com/lptjob/78678291?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%406_78678291%3A1%3A5f397f7c-a9a5-484e-b32b-f486373be79e&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=10&skId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&fkId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&ckId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&sfrom=search_job_pc&curPage=0&pageSize=40&index=10
猎聘网,招聘外贸业务员助理（长期实习生）,智皇科技,机械/设备融资未公开100-499人,深圳-龙岗区,120-200元/天,本科,提供转正,12个月,实习,李先生·总经理,,https://www.liepin.com/lptjob/75579129?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%406_75579129%3A1%3A5f397f7c-a9a5-484e-b32b-f486373be79e&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=11&skId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&fkId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&ckId=zj55buzp9svuja3xl5qiy5rfzlhxrj68&sfrom=search_job_pc&curPage=0&pageSize=40&index=11
